"location","latitude","sowing_date","sowing_doy","calendar_date","calendar_doy","day_in_season","temp_mean","temp_min","temp_max","photoperiod_hours","scenario"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-29,119,15,26.5,22,31,13.43,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-30,120,16,28.6,24.1,33.1,13.47,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-01,121,17,26.4,21.9,30.9,13.5,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-02,122,18,20.6,16.1,25.1,13.53,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-03,123,19,21.3,16.8,25.8,13.56,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-04,124,20,30.9,26.4,35.4,13.59,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-05,125,21,26.9,22.4,31.4,13.63,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-06,126,22,23.4,18.9,27.9,13.66,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-07,127,23,27.6,23.1,32.1,13.69,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-08,128,24,31.2,26.7,35.7,13.72,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-09,129,25,33,28.5,37.5,13.74,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-10,130,26,27.3,22.8,31.8,13.77,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-11,131,27,27.9,23.4,32.4,13.8,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-12,132,28,24.3,19.8,28.8,13.83,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-13,133,29,29.9,25.4,34.4,13.86,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-14,134,30,27.3,22.8,31.8,13.88,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-15,135,31,30.2,25.7,34.7,13.91,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-16,136,32,30.9,26.4,35.4,13.94,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-17,137,33,31.9,27.4,36.4,13.96,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-18,138,34,27.9,23.4,32.4,13.99,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-19,139,35,30.8,26.3,35.3,14.01,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-20,140,36,25.4,20.9,29.9,14.03,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-21,141,37,27.8,23.3,32.3,14.06,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-22,142,38,27.8,23.3,32.3,14.08,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-23,143,39,24,19.5,28.5,14.1,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-24,144,40,30.2,25.7,34.7,14.12,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-25,145,41,30.8,26.3,35.3,14.14,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-26,146,42,29.5,25,34,14.16,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-27,147,43,32.4,27.9,36.9,14.18,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-28,148,44,28.8,24.3,33.3,14.2,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-29,149,45,27.3,22.8,31.8,14.22,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-30,150,46,31.9,27.4,36.4,14.24,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-05-31,151,47,28.9,24.4,33.4,14.25,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-01,152,48,34.6,30.1,39.1,14.27,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-02,153,49,30,25.5,34.5,14.28,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-03,154,50,32.9,28.4,37.4,14.3,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-04,155,51,32.1,27.6,36.6,14.31,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-05,156,52,29.4,24.9,33.9,14.33,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-06,157,53,35.4,30.9,39.9,14.34,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-07,158,54,33.2,28.7,37.7,14.35,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-08,159,55,31.9,27.4,36.4,14.36,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-09,160,56,32.5,28,37,14.37,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-10,161,57,33.5,29,38,14.38,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-11,162,58,32.2,27.7,36.7,14.39,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-12,163,59,24.5,20,29,14.4,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-13,164,60,32.8,28.3,37.3,14.41,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-14,165,61,31.2,26.7,35.7,14.41,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-15,166,62,32.7,28.2,37.2,14.42,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-16,167,63,33.8,29.3,38.3,14.42,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-17,168,64,35.9,31.4,40.4,14.43,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-18,169,65,30.6,26.1,35.1,14.43,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-19,170,66,35.8,31.3,40.3,14.43,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-20,171,67,33.4,28.9,37.9,14.44,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-21,172,68,35.2,30.7,39.7,14.44,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-22,173,69,35,30.5,39.5,14.44,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-23,174,70,34.5,30,39,14.44,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-24,175,71,30.2,25.7,34.7,14.43,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-25,176,72,32.6,28.1,37.1,14.43,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-26,177,73,34.4,29.9,38.9,14.43,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-27,178,74,30.5,26,35,14.43,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-28,179,75,31.6,27.1,36.1,14.42,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-29,180,76,34.5,30,39,14.42,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-06-30,181,77,35,30.5,39.5,14.41,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-01,182,78,34.2,29.7,38.7,14.4,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-02,183,79,30.9,26.4,35.4,14.4,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-03,184,80,30.4,25.9,34.9,14.39,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-04,185,81,37,32.5,41.5,14.38,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-05,186,82,33.8,29.3,38.3,14.37,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-06,187,83,33.4,28.9,37.9,14.36,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-07,188,84,32.9,28.4,37.4,14.35,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-08,189,85,30.3,25.8,34.8,14.34,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-09,190,86,34.8,30.3,39.3,14.32,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-10,191,87,32.7,28.2,37.2,14.31,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-11,192,88,32.8,28.3,37.3,14.3,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-12,193,89,35.6,31.1,40.1,14.28,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-13,194,90,35.4,30.9,39.9,14.27,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-14,195,91,36.8,32.3,41.3,14.25,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-15,196,92,32.1,27.6,36.6,14.23,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-16,197,93,34.9,30.4,39.4,14.22,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-17,198,94,36.8,32.3,41.3,14.2,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-18,199,95,30.5,26,35,14.18,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-19,200,96,31.1,26.6,35.6,14.16,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-20,201,97,30.4,25.9,34.9,14.14,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-21,202,98,29.6,25.1,34.1,14.12,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-22,203,99,33.4,28.9,37.9,14.1,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-23,204,100,34.8,30.3,39.3,14.08,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-24,205,101,36.2,31.7,40.7,14.05,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-25,206,102,35.8,31.3,40.3,14.03,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-26,207,103,30.6,26.1,35.1,14.01,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-27,208,104,37.7,33.2,42.2,13.98,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-28,209,105,31.4,26.9,35.9,13.96,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-29,210,106,33.3,28.8,37.8,13.93,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-30,211,107,31.9,27.4,36.4,13.91,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-07-31,212,108,32.6,28.1,37.1,13.88,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-01,213,109,33.4,28.9,37.9,13.86,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-02,214,110,33.1,28.6,37.6,13.83,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-03,215,111,32.7,28.2,37.2,13.8,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-04,216,112,33,28.5,37.5,13.77,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-05,217,113,31.5,27,36,13.75,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-06,218,114,31.4,26.9,35.9,13.72,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-07,219,115,28.4,23.9,32.9,13.69,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-08,220,116,31.5,27,36,13.66,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-09,221,117,31.2,26.7,35.7,13.63,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-10,222,118,39.1,34.6,43.6,13.6,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-11,223,119,28.9,24.4,33.4,13.57,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-12,224,120,32.6,28.1,37.1,13.54,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-13,225,121,28.4,23.9,32.9,13.51,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-14,226,122,28.4,23.9,32.9,13.47,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-15,227,123,32.3,27.8,36.8,13.44,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-16,228,124,29.4,24.9,33.9,13.41,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-17,229,125,31.8,27.3,36.3,13.38,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-18,230,126,30.7,26.2,35.2,13.34,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-19,231,127,30.1,25.6,34.6,13.31,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-20,232,128,26.5,22,31,13.28,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-21,233,129,28.4,23.9,32.9,13.24,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-08-22,234,130,31.9,27.4,36.4,13.21,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-15,166,1,33.7,29.2,38.2,14.42,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-16,167,2,31.1,26.6,35.6,14.42,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-17,168,3,32.4,27.9,36.9,14.43,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-18,169,4,35.2,30.7,39.7,14.43,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-19,170,5,36.1,31.6,40.6,14.43,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-20,171,6,29.8,25.3,34.3,14.44,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-21,172,7,32.3,27.8,36.8,14.44,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-22,173,8,35.7,31.2,40.2,14.44,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-23,174,9,31.6,27.1,36.1,14.44,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-24,175,10,32.7,28.2,37.2,14.43,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-25,176,11,32.6,28.1,37.1,14.43,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-26,177,12,30.7,26.2,35.2,14.43,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-27,178,13,31.8,27.3,36.3,14.43,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-28,179,14,32.9,28.4,37.4,14.42,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-29,180,15,32,27.5,36.5,14.42,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-06-30,181,16,35.8,31.3,40.3,14.41,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-01,182,17,31.9,27.4,36.4,14.4,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-02,183,18,32,27.5,36.5,14.4,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-03,184,19,34.9,30.4,39.4,14.39,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-04,185,20,30.5,26,35,14.38,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-05,186,21,33.1,28.6,37.6,14.37,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-06,187,22,29.3,24.8,33.8,14.36,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-07,188,23,36.2,31.7,40.7,14.35,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-08,189,24,32.6,28.1,37.1,14.34,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-09,190,25,32.1,27.6,36.6,14.32,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-10,191,26,30.2,25.7,34.7,14.31,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-11,192,27,33.3,28.8,37.8,14.3,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-12,193,28,31.3,26.8,35.8,14.28,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-13,194,29,32,27.5,36.5,14.27,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-14,195,30,36.5,32,41,14.25,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-15,196,31,32.9,28.4,37.4,14.23,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-16,197,32,30.6,26.1,35.1,14.22,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-17,198,33,33.7,29.2,38.2,14.2,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-18,199,34,32.4,27.9,36.9,14.18,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-19,200,35,34.7,30.2,39.2,14.16,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-20,201,36,36.8,32.3,41.3,14.14,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-21,202,37,30.8,26.3,35.3,14.12,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-22,203,38,34.4,29.9,38.9,14.1,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-23,204,39,33.4,28.9,37.9,14.08,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-24,205,40,35.4,30.9,39.9,14.05,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-25,206,41,32.6,28.1,37.1,14.03,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-26,207,42,35.2,30.7,39.7,14.01,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-27,208,43,28.7,24.2,33.2,13.98,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-28,209,44,37.3,32.8,41.8,13.96,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-29,210,45,35.2,30.7,39.7,13.93,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-30,211,46,32.6,28.1,37.1,13.91,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-07-31,212,47,29.3,24.8,33.8,13.88,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-08-01,213,48,34.5,30,39,13.86,"Fayetteville, AR - Late (Jun 15)"
"Fayetteville, AR",36.0726,"Late (Jun 15)",166,2023-08-02,214,49,34,29.5,38.5,13.83,"Fayetteville, AR - Late (Jun 15)"
